name,expression,decay,truncation,neutralization,nan_handling
r18_t20180_skew180,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_term_double,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_skew_double,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d + d, std=3.0), industry)",16,0.02,NONE,ON
r18_t20180_skew180_pcr,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); p = ts_mean(pcr_oi_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); e = group_zscore(winsorize(p, std=3.0), industry); group_zscore(winsorize(a + b + d + e, std=3.0), industry)",16,0.02,NONE,ON
r18_t30360_skew180_c20,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 20); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_t30360_skew270,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_270, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_t20180_skew30slow,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_30, 60); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_t20180_skew360,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_t1090_skew180,"t = implied_volatility_mean_10 / implied_volatility_mean_90; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r18_t20180_skew180_sub,"t = implied_volatility_mean_20 / implied_volatility_mean_180; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), subindustry); b = group_zscore(winsorize(c, std=3.0), subindustry); d = group_zscore(winsorize(k, std=3.0), subindustry); group_zscore(winsorize(a + b + d, std=3.0), subindustry)",16,0.02,NONE,ON
r18_breakeven,"t = implied_volatility_mean_30 / implied_volatility_mean_360; c = ts_mean(rel_ret_comp, 10); be = ts_mean(option_breakeven_180 / close, 20); a = group_zscore(winsorize(-ts_mean(t, 20), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); e = group_zscore(winsorize(-be, std=3.0), industry); group_zscore(winsorize(a + b + e, std=3.0), industry)",16,0.02,NONE,ON
