name,expression,decay,truncation,neutralization,nan_handling
r25_term_skew180_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",16,0.02,NONE,ON
r25_term_skew90_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_90, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",16,0.02,NONE,ON
r25_term_skew270_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_270, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",16,0.02,NONE,ON
r25_term_skewspread_rev,"t = implied_volatility_mean_10 / implied_volatility_mean_60; q = implied_volatility_mean_skew_360 - implied_volatility_mean_skew_30; r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); h = group_zscore(winsorize(-ts_mean(q, 20), std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + h + p, std=3.0), industry)",16,0.02,NONE,ON
r25_term_retsig_flip,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(pv13_custretsig_retsig, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(-c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r25_term_part_flip,"t = implied_volatility_mean_10 / implied_volatility_mean_60; p = ts_mean(rel_ret_part, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(-p, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r25_term_all,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_all, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r25_term_rev_r10,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_360, 20); r10 = ts_mean(returns, 10); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r10, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",16,0.02,NONE,ON
r25_term_comp_skew180,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
r25_term_comp_skew90,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_90, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",16,0.02,NONE,ON
