name,expression,decay,truncation,neutralization,nan_handling
r27_ebitnp_industry,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), industry)",12,0.01,NONE,ON
r27_ebitnp_look90,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 90), 20), std=3.0), subindustry)",12,0.01,NONE,ON
r27_ebitnp_look150,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 150), 20), std=3.0), subindustry)",12,0.01,NONE,ON
r27_ebitnp_diff,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey - np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",12,0.01,NONE,ON
r27_ebitnp_2ebit,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",12,0.01,NONE,ON
r27_ebitnp_2np,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",12,0.01,NONE,ON
r27_ebitnp_decay16_t04,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",16,0.04,NONE,ON
r27_ebitnp_decay20_t05,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",20,0.05,NONE,ON
r27_ebitnp_smooth10,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 10), std=3.0), subindustry)",12,0.01,NONE,ON
r27_ebitnp_decay8_t05,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; group_zscore(winsorize(ts_mean(s - ts_mean(s, 120), 20), std=3.0), subindustry)",8,0.05,NONE,ON
