name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r30b_skew180_rev_d0_d16,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,16,0.02,NONE,ON,ON
r30b_skew180_rev_d0_d12,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,12,0.02,NONE,ON,ON
r30b_skew180_rev_d0_d8,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,8,0.02,NONE,ON,ON
r30b_skew90_rev_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_90, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,16,0.02,NONE,ON,ON
r30b_skew360_rev_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_360, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,16,0.02,NONE,ON,ON
r30b_skew180_rev_3to1_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + a + d + p, std=3.0), industry)",0,16,0.02,NONE,ON,ON
r30b_skew180_rev_d0_poff,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,16,0.02,NONE,OFF,ON
r30b_skew180_rev_d0_subind,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), subindustry); d = group_zscore(winsorize(k, std=3.0), subindustry); p = group_zscore(winsorize(-r5, std=3.0), subindustry); group_zscore(winsorize(a + a + d + p, std=3.0), subindustry)",0,16,0.02,NONE,ON,ON
r30b_term_comp_skew360_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_60; c = ts_mean(rel_ret_comp, 10); k = ts_mean(implied_volatility_mean_skew_360, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(c, std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + b + d, std=3.0), industry)",0,16,0.02,NONE,ON,ON
r30b_ivterm3_skew1_d0,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); b = group_zscore(winsorize(k, std=3.0), industry); group_zscore(winsorize(a + a + a + b, std=3.0), industry)",0,16,0.02,NONE,ON,ON
r30b_skew180_rev_d0_trunc01,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,16,0.01,NONE,ON,ON
r30b_skew180_rev_d0_dec4,"t = implied_volatility_mean_10 / implied_volatility_mean_60; k = ts_mean(implied_volatility_mean_skew_180, 20); r5 = ts_mean(returns, 5); a = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(k, std=3.0), industry); p = group_zscore(winsorize(-r5, std=3.0), industry); group_zscore(winsorize(a + a + d + p, std=3.0), industry)",0,4,0.02,NONE,ON,ON
