name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r33c_news_qep_p,"group_zscore(winsorize(ts_mean(vec_avg(nws18_qep), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33c_news_qep_n,"group_zscore(winsorize(-ts_mean(vec_avg(nws18_qep), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33c_news_ssc_p,"group_zscore(winsorize(ts_mean(vec_avg(nws18_ssc), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33c_news_ssc_n,"group_zscore(winsorize(-ts_mean(vec_avg(nws18_ssc), 5), std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33c_v2_c_d,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(v + v + c + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33c_v_c2_d,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(v + c + c + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33c_v_c_d2,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(v + c + d + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33c_v2_c_pcr,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33c_v2_d_pcr,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + d + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33c_c2_d2_m,"c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); group_zscore(winsorize(c + c + d + d + m, std=3.0), industry)",1,16,0.02,NONE,ON,ON
r33c_v2_c_rev20,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d20 = group_zscore(winsorize(-ts_mean(returns, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + d20, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33c_c2_d2,"c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(c + c + d + d, std=3.0), industry)",1,16,0.02,NONE,ON,ON
