name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r33d_v2ckp_d16,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2ckp_d12,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,12,0.01,NONE,ON,ON
r33d_vckp2,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + c + k + p + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2ckp2,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2cpd,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(v + v + c + p + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2ckpd,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2cpf,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); f = group_zscore(winsorize(ts_mean(operating_income / cap, 20), std=3.0), subindustry); group_zscore(winsorize(v + v + c + p + f, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2cpm,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); m = group_zscore(winsorize(-ts_mean(composite_factor_score_derivative, 10), std=3.0), industry); group_zscore(winsorize(v + v + c + p + m, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2ukp,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); u = group_zscore(winsorize(ts_mean(rel_num_all, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + u + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33d_v2ckp_t02,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.02,NONE,ON,ON
r33d_v2ckp_sub,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), subindustry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), subindustry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), subindustry); group_zscore(winsorize(v + v + c + k + p, std=3.0), subindustry)",1,16,0.01,NONE,ON,ON
