name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r33e_v2ck2p,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2ck3p,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + k + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v3ckp,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + v + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2c2kp,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2c5kp,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 5), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2c20kp,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 20), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2ck270p,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_270, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_w90ckp,"t = implied_volatility_mean_10 / implied_volatility_mean_90; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2ckp_d8,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,8,0.01,NONE,ON,ON
r33e_v2ck2p2,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + k + p + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33e_v2ckp_t005,"t = implied_volatility_mean_10 / implied_volatility_mean_60; v = group_zscore(winsorize(-ts_mean(t, 10), std=3.0), industry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(v + v + c + k + p, std=3.0), industry)",1,16,0.005,NONE,ON,ON
