name,expression,delay,decay,truncation,neutralization,pasteurization,nanHandling
r33f_r2cp,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r2ckp,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + k + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r2cd,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(r + r + c + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r2pk,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); k = group_zscore(winsorize(ts_mean(implied_volatility_mean_skew_360, 20), std=3.0), industry); group_zscore(winsorize(r + r + p + k, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r2c2p,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + c + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r3cp,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + r + c + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_rcpd,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); d = group_zscore(winsorize(-ts_mean(returns, 5), std=3.0), industry); group_zscore(winsorize(r + c + p + d, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r2up,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); u = group_zscore(winsorize(ts_mean(rel_num_all, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + u + p, std=3.0), industry)",1,16,0.01,NONE,ON,ON
r33f_r2cp_d8,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), industry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), industry); group_zscore(winsorize(r + r + c + p, std=3.0), industry)",1,8,0.01,NONE,ON,ON
r33f_r2cp_sub,"ey = ts_backfill(anl4_ebit_value, 40) / cap; np = ts_backfill(anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean, 40) / cap; s = ey + np; r = group_zscore(winsorize(ts_rank(s, 120), std=3.0), subindustry); c = group_zscore(winsorize(ts_mean(rel_ret_comp, 10), std=3.0), subindustry); p = group_zscore(winsorize(ts_mean(pcr_oi_180, 20), std=3.0), subindustry); group_zscore(winsorize(r + r + c + p, std=3.0), subindustry)",1,16,0.01,NONE,ON,ON
